UACE CD,UZA,UZA Name,UZA Population,Total Vehicle Revenue Miles,Total Vehicle Revenue Hours,Total Passenger Miles Traveled,Total Unlinked Passenger Trips,Total Operating Expenses,Fixed Guideway Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Fixed Guideway Directional Route Miles >= 7 Years,Fixed Guideway Vehicle Revenue Miles >= 7 Years,High Intensity Bus Directional Route Miles >= 7 Years,High Intensity Bus Vehicle Revenue Miles >= 7 Years
,0,Alabama Non-UZA,,5718110,349905,2669741,1364212,16534242,0,0,0,0,5718110,2669741,16534242,0,0,0,0
,0,Alaska Non-UZA,,3965901,214791,22585001,1969024,68430124,914.8,1152012,22585001,48463298,2813889,0,19966826,914.8,1152012,0,0
,0,American Samoa Non-UZA,,130971,11970,0,24882,940893,0,0,0,0,130971,0,940893,0,0,0,0
,0,Arizona Non-UZA,,5201411,285808,3987048,1949570,20367842,0,0,0,0,5201411,3987048,20367842,0,0,0,0
,0,Arkansas Non-UZA,,12148422,622361,0,1027957,21758393,0,0,0,0,12148422,0,21758393,0,0,0,0
,0,California Non-UZA,,26752418,1456181,40786000,12038494,147633791,0,0,0,0,26752418,40786000,147633791,0,0,0,0
,0,Colorado Non-UZA,,20566685,1375148,391457,18244909,100134593,0,0,0,0,20566685,391457,100134593,0,0,0,0
,0,Connecticut Non-UZA,,1696481,109734,1779654,760612,7509817,0,0,0,0,1696481,1779654,7509817,0,0,0,0
,0,Delaware Non-UZA,,3452665,197653,5957024,618438,21338856,0,0,0,0,3452665,5957024,21338856,0,0,0,0
,0,Florida Non-UZA,,19766465,1060190,33856031,7051032,70586510,0,0,0,0,19766465,33856031,70586510,0,0,0,0
,0,Georgia Non-UZA,,16822497,957507,0,1649840,33302270,0,0,0,0,16822497,0,33302270,0,0,0,0
,0,Guam Non-UZA,,795104,47576,0,159201,2814565,0,0,0,0,795104,0,2814565,0,0,0,0
,0,Hawaii Non-UZA,,4513529,267054,4922385,2146013,26035656,0,0,0,0,4513529,4922385,26035656,0,0,0,0
,0,Idaho Non-UZA,,3323531,172390,807894,1231522,11095617,0,0,0,0,3323531,807894,11095617,0,0,0,0
,0,Illinois Non-UZA,,21771546,1131979,9562688,4214611,65448510,0,0,0,0,21771546,9562688,65448510,0,0,0,0
,0,Indiana Non-UZA,,11792656,781281,296921,2123855,30497570,0,0,0,0,11792656,296921,30497570,0,0,0,0
,0,Iowa Non-UZA,,15153966,1053095,537029,3772258,49282636,0,0,0,0,15153966,537029,49282636,0,0,0,0
,0,Kansas Non-UZA,,7435918,423250,62827,1532953,18938427,0,0,0,0,7435918,62827,18938427,0,0,0,0
,0,Kentucky Non-UZA,,28863794,1684066,1346525,2996162,59489192,0,0,0,0,28863794,1346525,59489192,0,0,0,0
,0,Louisiana Non-UZA,,5637215,320557,531381,740178,14496689,1,5605,94327,937345,5631610,437054,13559344,1,5605,0,0
,0,Maine Non-UZA,,12088210,581988,1873598,2600657,45936953,7.5,22047,1009741,1851943,12066163,863857,44085010,7.5,22047,0,0
,0,Maryland Non-UZA,,6283368,409443,5494535,3883699,23751894,0,0,0,0,6283368,5494535,23751894,0,0,0,0
,0,Massachusetts Non-UZA,,3656289,237241,4470925,2636653,18669013,0,0,0,0,3656289,4470925,18669013,0,0,0,0
,0,Michigan Non-UZA,,31028765,1817260,7092344,7689793,107320914,0,0,0,0,31028765,7092344,107320914,0,0,0,0
,0,Minnesota Non-UZA,,15200648,978584,760418,4131198,58612706,0,0,0,0,15200648,760418,58612706,0,0,0,0
,0,Mississippi Non-UZA,,11242283,494687,841571,2956919,26090817,0,0,0,0,11242283,841571,26090817,0,0,0,0
,0,Missouri Non-UZA,,20651324,1109844,10620,2147583,41922909,0,0,0,0,20651324,10620,41922909,0,0,0,0
,0,Montana Non-UZA,,4856970,297409,0,1488782,15936474,0,0,0,0,4856970,0,15936474,0,0,0,0
,0,Nebraska Non-UZA,,4032806,253396,0,677832,11826837,0,0,0,0,4032806,0,11826837,0,0,0,0
,0,Nevada Non-UZA,,2041333,114164,1215049,595551,9085239,0,0,0,0,2041333,1215049,9085239,0,0,0,0
,0,New Hampshire Non-UZA,,1405027,120283,130218,1523001,7761664,0,0,0,0,1405027,130218,7761664,0,0,0,0
,0,New Jersey Non-UZA,,1843289,117470,169405,369691,7948832,0,0,0,0,1843289,169405,7948832,0,0,0,0
,0,New Mexico Non-UZA,,5791608,310473,2295362,1717740,25540139,0,0,0,0,5791608,2295362,25540139,0,0,0,0
,0,New York Non-UZA,,14843002,818114,7531990,5689869,63851862,0,0,0,0,14843002,7531990,63851862,0,0,0,0
,0,North Carolina Non-UZA,,31761684,1725830,724162,5061570,71036902,0,0,0,0,31761684,724162,71036902,0,0,0,0
,0,North Dakota Non-UZA,,3482871,238276,0,617006,11239960,0,0,0,0,3482871,0,11239960,0,0,0,0
,0,Ohio Non-UZA,,14544297,817022,350522,2728688,48707331,0,0,0,0,14544297,350522,48707331,0,0,0,0
,0,Oklahoma Non-UZA,,18359412,1124874,0,2779755,42146514,0,0,0,0,18359412,0,42146514,0,0,0,0
,0,Oregon Non-UZA,,10849092,578746,4076614,2972650,38918637,0,0,0,0,10849092,4076614,38918637,0,0,0,0
,0,Pennsylvania Non-UZA,,13477320,756735,11030989,3546199,55122003,0,0,0,0,13477320,11030989,55122003,0,0,0,0
,0,Puerto Rico Non-UZA,,1590663,149458,21523177,2946866,31809996,44.4,144626,15443588,25939734,1446037,6079589,5870262,0,0,0,0
,0,Rhode Island Non-UZA,,185630,6931,1159606,55298,2117407,0,0,0,0,185630,1159606,2117407,0,0,0,0
,0,South Carolina Non-UZA,,8881239,437878,1971062,1376188,20814750,0,0,0,0,8881239,1971062,20814750,0,0,0,0
,0,South Dakota Non-UZA,,4851687,344604,0,1352696,16437021,0,0,0,0,4851687,0,16437021,0,0,0,0
,0,Tennessee Non-UZA,,23592022,1180899,1773578,5330200,51005125,0,0,0,0,23592022,1773578,51005125,0,0,0,0
,0,Texas Non-UZA,,26718078,1291510,9401058,4165053,79314096,0,0,0,0,26718078,9401058,79314096,0,0,0,0
,0,Utah Non-UZA,,4637619,231010,11361405,3377603,21579661,0,0,0,0,4637619,11361405,21579661,0,0,0,0
,0,Vermont Non-UZA,,16822308,672468,3308085,2601685,33493037,0,0,0,0,16822308,3308085,33493037,0,0,0,0
,0,Virginia Non-UZA,,10337402,533554,10373308,2806466,29421767,0,0,0,0,10337402,10373308,29421767,0,0,0,0
,0,Washington Non-UZA,,18678294,938348,66672608,14799105,174590839,153.8,311226,61351860,86138227,18367068,5320748,88452612,136.4,283047,0,0
,0,West Virginia Non-UZA,,4578324,259048,0,1104864,13758692,0,0,0,0,4578324,0,13758692,0,0,0,0
,0,Wisconsin Non-UZA,,12445433,912443,113490,3118725,35264810,0,0,0,0,12445433,113490,35264810,0,0,0,0
,0,Wyoming Non-UZA,,2789820,222978,0,2079175,10360361,0,0,0,0,2789820,0,10360361,0,0,0,0
,1,"New York-Newark, NY-NJ-CT",18351295,862600555,56839402,22227181684,4209297867,15268706452,2571.6,550316012,18511711057,9635475159,312284543,3715470627,5633231293,2456.2,546204049,131.1,5842013
,2,"Los Angeles-Long Beach-Anaheim, CA",12150996,268722360,19009541,2947725227,538863984,3109835571,653.4,35199842,1045687656,794201642,233522518,1902037571,2315633929,616.3,30724522,254.1,2972968
,3,"Chicago, IL-IN",8608208,242151351,16145245,3645688116,553155562,2675435390,1338.6,121622114,2828323432,1444555706,120529237,817364684,1230879684,1259,121563654,0,0
,4,"Miami, FL",5502379,100896914,6788509,768344292,123322927,901459332,241.9,14352398,279867140,241777145,86544516,488477152,659682187,240.3,14339029,0,0
,5,"Philadelphia, PA-NJ-DE-MD",5441567,126790157,9524897,1753041744,347457394,1650103227,811.8,47908234,1089052290,684713035,78881923,663989454,965390192,811.8,47908234,0,0
,6,"Dallas-Fort Worth-Arlington, TX",5121892,68130371,4466808,479160507,76473460,655057515,301.9,13429406,270108288,247571539,54700965,209052219,407485976,247.2,11476604,31,324852
,7,"Houston, TX",4944332,79370728,5158501,586453810,90509150,585963403,43.6,3482906,52243069,83097579,75887822,534210741,502865824,14.8,1577648,157.1,3998958
,8,"Washington, DC-VA-MD",4586770,208712771,13535635,2430771393,419224281,2640326225,675.9,91944449,1621002239,1304484799,116768322,809769154,1335841426,635,76989179,102.5,1914380
,9,"Atlanta, GA",4515419,73367177,4333582,819148238,124639340,558378055,99,22579769,450305185,211434356,50787408,368843053,346943699,96.3,22519259,91.3,1464592
,10,"Boston, MA-NH-RI",4181019,109465777,8496859,1739028787,376390991,1605450643,919.1,56678801,1421542066,949830305,52786976,317486721,655620338,916.4,56371456,1.6,17891
,11,"Detroit, MI",3734090,34542956,2139314,219021340,35253042,254167336,9.6,671686,4191476,27943822,33871270,214829864,226223514,2.9,506223,0,0
,12,"Phoenix-Mesa, AZ",3629114,54421707,3833772,356626647,72065317,394759376,51.1,3351956,108918663,48417272,51069751,247707984,346342104,38.6,2337543,173.6,841485
,13,"San Francisco-Oakland, CA",3281212,138366377,9397064,2461068121,406960711,2263158786,741.1,75088847,1869050558,1140281303,63277530,592017563,1122877483,694.8,72003712,62.6,456245
,14,"Seattle, WA",3059393,115886897,7875519,1458392546,217909182,1573887750,483,13071628,478205675,508897034,102815269,980186871,1064990716,437.1,10664429,233.4,10832802
,15,"San Diego, CA",2956746,59631598,3590016,587874107,96911783,392231766,273.1,11451484,284046445,137904823,48180114,303827662,254326943,268.1,11349406,0.1,2547
,16,"Minneapolis-St. Paul, MN-WI",2650890,66833927,4492347,438810760,91416523,579280501,132.7,6397298,123949399,99876847,60436629,314861361,479403654,111.1,3959040,204.3,3946351
,17,"Tampa-St. Petersburg, FL",2441770,26860833,1953690,159073062,27660781,168019910,5.4,113872,1220892,2256938,26746961,157852170,165762972,5.4,113872,1.1,28394
,18,"Denver-Aurora, CO",2374203,64948266,4397348,588693950,97832161,607500880,188.8,19804894,302645184,218503891,45143372,286048766,388996989,97,11536511,4.9,13751
,19,"Baltimore, MD",2203663,58448379,4280860,466733556,88078813,700779172,233.8,10721589,182827988,201269209,47726790,283905568,499509963,225.7,9867825,0,0
,20,"St. Louis, MO-IL",2150706,34494373,2175702,239810090,38571155,305141898,91.1,6113628,89068641,85552894,28380745,150741449,219589004,91.1,6113628,0,0
,21,"San Juan, PR",2148346,15700019,1456320,105035120,21913593,138883951,39.7,2448349,32934171,75295439,13251670,72100949,63588512,39.7,2448349,0,0
,22,"Riverside-San Bernardino, CA",1932666,21703304,1364707,141373436,17203457,174260952,177.2,2913777,43552085,44219717,18789527,97821351,130041235,117,1946900,24.4,37186
,23,"Las Vegas-Henderson, NV",1886011,29940342,2368675,263850538,65821192,237475512,58.4,1508657,19882384,14095060,28431685,243968154,223380452,36.8,1002969,19.5,194902
,24,"Portland, OR-WA",1849898,46041392,3758971,463342804,110112562,612145888,170,10266128,223991372,203623397,35775264,239351432,408522491,152.4,9390560,4,50001
,25,"Cleveland, OH",1780673,25235268,1918279,158262747,33026032,318790727,82.6,3679572,52393746,66671760,21555696,105869001,252118967,82.6,3679572,3.2,209324
,26,"San Antonio, TX",1758210,38796698,2442423,196171081,42522543,222617258,0,0,0,0,38796698,196171081,222617258,0,0,0,0
,27,"Pittsburgh, PA",1733853,37915774,2702267,295275291,65851064,456914105,92.9,4872372,77079496,112742008,33043402,218195795,344172097,92.9,4872372,13.4,56595
,28,"Sacramento, CA",1723634,18994448,1313518,125229471,22695892,221272981,84.9,4343974,63439869,76359832,14650474,61789602,144913149,76.1,4176472,0,0
,29,"San Jose, CA",1664496,27578592,2027732,328015003,42801725,466044910,185.7,6047736,183923169,175074979,21530856,144091834,290969931,185.7,6047736,207.6,539200
,30,"Cincinnati, OH-KY-IN",1624827,16357473,1199295,97888264,17657600,134995015,3.7,105417,928018,3612189,16252056,96960246,131382826,0.1,11065,0,0
,31,"Kansas City, MO-KS",1519417,14661676,960673,59298297,15638772,122630672,11.2,137983,2881142,5127339,14523693,56417155,117503333,7.3,0,0,1836
,32,"Orlando, FL",1510516,21706208,1433498,149011773,20942263,152602703,104.1,1280386,25591546,48604633,20425822,123420227,103998070,2.5,134199,0,0
,33,"Indianapolis, IN",1487483,12253399,880198,48475710,9776748,98540193,8.7,304572,2550235,4398506,11948827,45925475,94141687,0,0,0,0
,34,"Virginia Beach, VA",1439666,15935016,1130246,74104363,13565277,97895364,16.7,404203,5012354,13374459,15530813,69092009,84520905,16.7,404203,70.7,613302
,35,"Milwaukee, WI",1376476,21942528,1687885,106091120,31401061,164311703,14.7,143633,1026826,4746264,21798895,105064294,159565439,10.7,48711,0,0
,36,"Columbus, OH",1368035,19118823,1401575,81628661,19591447,172924419,0,0,0,0,19118823,81628661,172924419,0,0,0,0
,37,"Austin, TX",1362416,28009691,2066308,168576291,31167525,235997417,64.2,581528,11187645,19319510,27428163,157388646,216677907,64.2,581528,0,0
,38,"Charlotte, NC-SC",1249442,21347576,1501778,129450983,24848043,167333205,47.6,2410760,45712163,37833565,18936816,83738820,129499640,26.3,1217899,14.4,201393
,39,"Providence, RI-MA",1190956,13799158,967786,82899650,18044713,128524014,99.5,108541,2828279,2176068,13690617,80071371,126347946,73.7,83637,0,0
,40,"Jacksonville, FL",1065219,13924142,941692,66540763,11614432,113657623,6.3,146644,851439,10504096,13777498,65689324,103153527,5.4,138908,0,0
,41,"Memphis, TN-MS-AR",1060061,7099433,433339,36729760,6477372,58859221,10,58644,452158,3628003,7040789,36277602,55231218,10,58644,0,0
,42,"Salt Lake City-West Valley City, UT",1021243,23329072,1396960,199408461,31971276,200985056,159,8258950,124915379,85006979,15070122,74493082,115978077,155.1,7986107,0,0
,43,"Louisville/Jefferson County, KY-IN",972546,13722039,957572,57930799,11640704,90629468,0,0,0,0,13722039,57930799,90629468,0,0,0,0
,44,"Nashville-Davidson, TN",969587,11398737,793415,64039392,10395401,92902243,62.8,197967,4544152,4594651,11200770,59495240,88307592,62.8,197967,0,0
,45,"Richmond, VA",953556,10155141,688226,57672665,9493218,56935404,15.3,482653,5817055,4924055,9672488,51855610,52011349,0,0,0,0
,46,"Buffalo, NY",935906,11145388,967643,82571610,23968959,142615057,12.4,921826,11971472,26660853,10223562,70600138,115954204,12.4,921826,0,0
,47,"Hartford, CT",924859,16226914,1170548,118457725,17205693,130887919,19.6,1476947,15128531,15542734,14749967,103329194,115345185,0,0,39.3,382511
,48,"Bridgeport-Stamford, CT-NY",923311,11613464,729033,191284778,17299415,153819916,51,5199413,155702919,96265157,6414051,35581859,57554759,131.2,5199413,0,0
,49,"New Orleans, LA",899703,10506344,957261,62163497,18893873,144073216,29.9,1038954,13011308,41340433,9467390,49152189,102732783,29.9,1038954,7,195020
,50,"Raleigh, NC",884891,12366369,888258,41283448,10408322,67674037,0,0,0,0,12366369,41283448,67674037,0,0,0,0
,51,"Oklahoma City, OK",861505,3917942,260065,15341428,3334663,32957630,11.6,79688,383254,4672252,3838254,14958174,28285378,8.5,2375,0,0
,52,"Tucson, AZ",843168,13333503,1037973,66726842,15875494,82304723,7.8,202514,1406528,4138394,13130989,65320314,78166329,0,0,0,0
,53,"El Paso, TX-NM",803086,9370208,667441,77293617,11518057,65302323,4,76290,343070,2584352,9293918,76950547,62717971,0,0,0,0
,54,"Urban Honolulu, HI",802459,26297983,1965166,317922119,63372785,264103422,1,124065,2104761,1441106,26173918,315817358,262662316,1,124065,20.5,252396
,55,"Birmingham, AL",749495,4919577,314186,23922092,3331511,34875596,0,0,0,0,4919577,23922092,34875596,0,0,0,0
,56,"Albuquerque, NM",741318,9066396,574459,70970247,10223064,84000423,193.1,1338457,35411192,28790471,7727939,35559055,55209952,193.1,1338457,0,0
,57,"McAllen, TX",728825,2255330,116394,5142311,1172259,8122165,0,0,0,0,2255330,5142311,8122165,0,0,0,0
,58,"Omaha, NE-IA",725008,4799890,341011,12098347,3380090,29352346,0,0,0,0,4799890,12098347,29352346,0,0,0,0
,59,"Dayton, OH",724091,9440350,656346,58291781,9586879,81231659,125.7,832545,8439011,11749604,8607805,49852770,69482055,125.7,832545,0,0
,60,"Rochester, NY",720572,6892800,568413,48550469,14568110,80897936,0,0,0,0,6892800,48550469,80897936,0,0,0,0
,61,"Allentown, PA-NJ",664651,5789780,407008,30032415,4795646,38977806,0,0,0,0,5789780,30032415,38977806,0,0,0,0
,62,"Tulsa, OK",655479,3781960,246105,14861933,2717580,19106083,0,0,0,0,3781960,14861933,19106083,0,0,0,0
,63,"Fresno, CA",654628,7678836,556877,51619977,11140101,54046987,0,0,0,0,7678836,51619977,54046987,0,0,0,0
,64,"Sarasota-Bradenton, FL",643260,6285920,436331,20447168,3943981,39676017,0,0,0,0,6285920,20447168,39676017,0,0,0,0
,65,"Springfield, MA-CT",621300,8894809,579350,42861654,10709794,53264319,0,0,0,0,8894809,42861654,53264319,0,0,0,0
,66,"Concord, CA",615968,22970424,937488,424582502,32879454,199794426,75.1,17545991,401632698,148114813,5424433,22949804,51679613,75.1,17545991,0,0
,67,"Albany-Schenectady, NY",594962,11681997,843088,73741217,15705753,89252372,0,0,0,0,11681997,73741217,89252372,0,0,0,0
,68,"Baton Rouge, LA",594309,3902630,290865,14444833,3803859,29422264,0,0,0,0,3902630,14444833,29422264,0,0,0,0
,69,"Mission Viejo-Lake Forest-San Clemente, CA",583681,4529195,316330,25108272,4701767,47149946,47,959012,8635610,17419126,3570183,16472662,29730820,47,959012,0,0
,70,"Grand Rapids, MI",569935,8544936,631499,40836599,10494258,47638624,19,370596,2501045,2343897,8174340,38335554,45294727,0,0,0,0
,71,"Akron, OH",569499,7521346,556990,28976153,6515515,59592458,0,0,0,0,7521346,28976153,59592458,0,0,0,0
,72,"New Haven, CT",562839,12262360,664050,196638935,14900432,189873776,152.2,6637801,171705279,135295237,5624559,24933656,54578539,125,6637801,0,0
,73,"Colorado Springs, CO",559409,4616101,299450,17903771,3457946,23824689,0,0,0,0,4616101,17903771,23824689,0,0,0,0
,74,"Knoxville, TN",558696,5376465,360932,10484031,2967648,27585732,0,0,0,0,5376465,10484031,27585732,0,0,0,0
,75,"Columbia, SC",549777,3394598,236465,7764377,2730765,20334361,0,0,0,0,3394598,7764377,20334361,0,0,0,0
,76,"Charleston-North Charleston, SC",548404,3496232,263703,16605733,3232446,21495526,0,0,0,0,3496232,16605733,21495526,0,0,0,0
,77,"Ogden-Layton, UT",546026,9759862,533457,94571357,8225855,69526710,70.5,2397942,59343000,19660909,7361920,35228357,49865801,70.5,2397942,0,0
,78,"Cape Coral, FL",530290,4552483,273036,18796507,2947252,23091230,0,0,0,0,4552483,18796507,23091230,0,0,0,0
,79,"Bakersfield, CA",523994,5167543,366625,28806524,6524868,30564663,0,0,0,0,5167543,28806524,30564663,0,0,0,0
,80,"Toledo, OH-MI",507643,4654776,396190,11994908,2053250,27812246,1,2863,9840,22211,4651913,11985068,27790035,1,2683,0,0
,81,"Worcester, MA-CT",486514,3190402,243116,14458986,3212880,25945290,25.9,6483,169928,116394,3183919,14289058,25828896,25.9,6483,0,0
,82,"Provo-Orem, UT",482819,4617678,242537,50450539,3917546,34030879,47.2,2169273,36784430,18296807,2448405,13666109,15734072,38.9,1314303,0,0
,83,"Wichita, KS",472870,2449725,159382,7678034,1380229,13105043,0,0,0,0,2449725,7678034,13105043,0,0,0,0
,84,"Palm Bay-Melbourne, FL",452791,2977334,147104,15902631,2083363,12091717,0,0,0,0,2977334,15902631,12091717,0,0,0,0
,85,"Des Moines, IA",450070,5742374,315661,26379324,4393025,31477127,0,0,0,0,5742374,26379324,31477127,0,0,0,0
,86,"Harrisburg, PA",444474,4737013,252113,38899876,2587843,32930903,28.8,835183,27559453,9720151,3901830,11340423,23210752,28.8,835183,0,0
,87,"Murrieta-Temecula-Menifee, CA",441546,2630518,155846,9716344,893870,12696852,0,0,0,0,2630518,9716344,12696852,0,0,0,0
,88,"Little Rock, AR",431388,3203550,209425,12354762,2564760,18790208,3.8,53012,325918,990138,3150538,12028844,17800070,3.8,53012,0,0
,89,"Poughkeepsie-Newburgh, NY-NJ",423566,13076386,416767,233037721,7840722,110610631,35.7,2400740,71804022,45001788,10675646,161233699,65608843,35.7,2400740,0,0
,90,"Syracuse, NY",412317,4569091,372779,28881834,8561700,57592650,0,0,0,0,4569091,28881834,57592650,0,0,0,0
,91,"Lancaster, PA",402004,5839525,275371,84995302,2888587,42664866,76,2213233,73032485,25758378,3626292,11962817,16906488,76,2213233,0,0
,92,"Madison, WI",401661,5927472,484651,51423339,13034300,53710102,12.5,288625,2888238,2813439,5638847,48535101,50896663,12.5,288625,0,0
,93,"Greenville, SC",400492,1402496,99170,9032663,1526493,8539175,0,0,0,0,1402496,9032663,8539175,0,0,0,0
,94,"Reno, NV-CA",392141,6956693,429547,38546837,7829157,38161873,0.5,39744,309403,399075,6916949,38237434,37762798,0.5,39744,0,0
,95,"Winston-Salem, NC",391024,4731638,302220,15087309,3022078,22847165,0,0,0,0,4731638,15087309,22847165,0,0,0,0
,96,"Spokane, WA",387847,8794223,592726,44508914,9770829,66017807,0,0,0,0,8794223,44508914,66017807,0,0,0,0
,97,"Youngstown, OH-PA",387550,2414622,174681,6383138,1673931,14511176,0,0,0,0,2414622,6383138,14511176,0,0,0,0
,98,"Augusta-Richmond County, GA-SC",386787,894825,68839,2402290,705468,5432499,0,0,0,0,894825,2402290,5432499,0,0,0,0
,99,"Scranton, PA",381502,3820808,275748,11765527,2445478,26549086,0,0,0,0,3820808,11765527,26549086,0,0,0,0
,100,"Chattanooga, TN-GA",381112,2727579,218129,7887747,2643299,21282774,1.7,19196,422784,2155392,2708383,7464963,19127382,1.7,19196,0,0
